name,latitude,longitude,category,description,website,source,type,address,district
Pettah market,6.936218,79.850106,Attractions,Main market in Sri Lanka that can get a new experience.,http://www.srilanka.travel/attraction&attraction_id=212,NSDI,Attractions,,Colombo
Pigeon island national park,8.722112,81.204543,Attractions,Pigeon Island National Park is one of the two marine national parks of Sri Lanka. The national park is situated 1 km off the coast of Nilaveli. ,http://www.srilanka.travel/attraction&attraction_id=159,NSDI,Attractions,,Trincomalee
Pineapple in belummahara,7.0663699,80.0122449,Attractions,The Pineapple is a universal symbol for hospitality.,http://www.srilanka.travel/attraction&attraction_id=83,NSDI,Attractions,,Gampaha
Pinnawala elephant orphanage,7.300896,80.387585,Attractions,Pinnawala Elephant Orphanage is an orphanage nursery and captive breeding ground for wild Asian elephants located at Pinnawala village 13 km (8.1 mi) northeast of Kegalle town in Sabaragamuwa Provin,http://www.srilanka.travel/attraction&attraction_id=161,NSDI,Attractions,,Kegalle
Piyangala forest hermitage,7.495774,81.6315927,Attractions,A forest hermitage of ancient tradition,http://www.srilanka.travel/attraction&attraction_id=106,NSDI,Attractions,,Ampara
Point pedro,9.79415515,80.22075176,Attractions,Sri Lanka’s north most corner,http://www.srilanka.travel/attraction&attraction_id=18,NSDI,Attractions,,Jaffna
Rajagala,7.4908074,81.6172083,Attractions,A monastery in perfect form amidst the jungle,http://www.srilanka.travel/attraction&attraction_id=103,NSDI,Attractions,,Ampara
Rambakan oya,7.49841,81.3780431,Attractions,A mega irrigation project in East.,http://www.srilanka.travel/attraction&attraction_id=147,NSDI,Attractions,,Ampara
Rambodagalla buddha statue,7.5156351,80.5041841,Attractions,The world’s Largest Granite Statue of Samadhi Buddha.,http://www.srilanka.travel/attraction&attraction_id=92,NSDI,Attractions,,Kurunegala
Ratmullukanda viharaya,7.5156351,80.5041841,Attractions,The highest peak that can be reached by a vehicle,http://www.srilanka.travel/attraction&attraction_id=89,NSDI,Attractions,,Kurunegala
Rawana ella and ravana falls,6.840527,81.054634,Attractions,This is the one of most popular and elegant water fall in Sri Lanka.,http://www.srilanka.travel/attraction&attraction_id=188,NSDI,Attractions,,Badulla
Richmond castle,6.601561,79.975275,Attractions,Richmond Castle is like an amazing Royal Palace in Sri Lanka. ,http://www.srilanka.travel/attraction&attraction_id=198,NSDI,Attractions,,Kalutara
Ridee viharaya,7.5373387,80.4919767,Attractions,King Dutugemunu found a silver (ridi) ore mine which was used to finance the building of the gigantic Ruwanweli Seya .,http://www.srilanka.travel/attraction&attraction_id=90,NSDI,Attractions,,Kurunegala
Samangala forest hermitage,7.4128915,81.5712964,Attractions,A monastery with rare Brahmin inscriptions,http://www.srilanka.travel/attraction&attraction_id=115,NSDI,Attractions,,Ampara
Sangamankanda point,7.0259349,81.8783087,Attractions,The Eastern most point of the country.,http://www.srilanka.travel/attraction&attraction_id=126,NSDI,Attractions,,Ampara
Seema malakaya meditation centre,6.916832,79.854593,Attractions,This is a calm and beautiful place in the busy Colombo city.,http://www.srilanka.travel/attraction&attraction_id=204,NSDI,Attractions,,Colombo
Senanayaka samudraya of inginiyagala,7.2278803,81.5354077,Attractions,The largest manmade reservoir in the country.,http://www.srilanka.travel/attraction&attraction_id=102,NSDI,Attractions,,Ampara
Shasthrawela,6.5552778,81.6863889,Attractions,A Buddhist learning seat in the East,http://www.srilanka.travel/attraction&attraction_id=125,NSDI,Attractions,,Ampara
Sigiriya,7.956845,80.759944,Attractions,Sigiriya is located in matale district in the central province of sri lanka. It is within the cultural triangle which includes five of the seven world heritage sites in sri lanka. ,http://www.srilanka.travel/attraction&attraction_id=160,NSDI,Attractions,,Matale
Sinharaja,6.389637,80.501088,Attractions,Sinharaja Forest Reserve is a national park and a biodiversity hotspot in Sri Lanka. It is of international significance and has been designated a Biosphere Reserve and World Heritage Site by UNESCO.,http://www.srilanka.travel/attraction&attraction_id=151,NSDI,Attractions,,Ratnapura
Sri dalada maligawa (temple of the tooth),7.294373,80.641486,Attractions,Sri Dalada Maligawa or the Temple of the Sacred Tooth Relic is a Buddhist temple in the city of Kandy Sri Lanka.This a World Heritage Site mainly due to the temple.  ,http://www.srilanka.travel/attraction&attraction_id=155,NSDI,Attractions,,Kandy
Sri pada (adams peak),6.809627,80.499399,Attractions,Sri pada or samanala kanda is 2243m tall conical mountain located in central in sri lanka.  This is the fourth highest mountain in sri lanka.,http://www.srilanka.travel/attraction&attraction_id=150,NSDI,Attractions,,Ratnapura
Sri shakhyasinharamaya,6.9510702,79.8741581,Attractions,This is a One of Splendored temple in Colombo 14.,http://www.srilanka.travel/attraction&attraction_id=220,NSDI,Attractions,,Colombo
St. clairs falls,6.951754,80.648158,Attractions,This is the widest waterfall in Sri Lanka therefore St. Clair’s commonly known as Little Niagara of Sri Lanka. ,http://www.srilanka.travel/attraction&attraction_id=189,NSDI,Attractions,,Nuwara Eliya
The dagger clawed people,7.2317591,81.647344,Attractions,Pigmy size human in Sri Lanka,http://www.srilanka.travel/attraction&attraction_id=139,NSDI,Attractions,,Ampara
The japanese peace pagoda,7.2317591,81.647344,Attractions,One of the five peace pagodas in Sri Lanka.,http://www.srilanka.travel/attraction&attraction_id=116,NSDI,Attractions,,Ampara
The nagapooshani amman kovil,9.61293622,79.76966858,Attractions,One of the prominent 64 Shakti Peethams.,http://www.srilanka.travel/attraction&attraction_id=19,NSDI,Attractions,,Jaffna
The steaming hot water wells of mahaoya,7.4312864,81.3329601,Attractions,The hottest natural hot water source in the country,http://www.srilanka.travel/attraction&attraction_id=140,NSDI,Attractions,,Ampara
Thewatta besilika church - national basilica of our lady of lan,7.0367618,79.9315125,Attractions,Built to keep the promise of faith.,http://www.srilanka.travel/attraction&attraction_id=87,NSDI,Attractions,,Gampaha
Tomb of king vijay,7.4729813,80.3547286,Attractions,The place where King Vijaya wished to be buried,http://www.srilanka.travel/attraction&attraction_id=91,NSDI,Attractions,,Kurunegala
Traditional village (ape gama),6.891276,79.922249,Attractions,Ape Gama (Our Village) is a replica of the Sri Lankan old day traditional village.,http://www.srilanka.travel/attraction&attraction_id=218,NSDI,Attractions,,Colombo
Udawalawe national park,6.472865,81.063191,Attractions,Udawalawe National Park lies on the boundary of Sabaragamuwa and Uva Provinces in Sri Lanka. ,http://www.srilanka.travel/attraction&attraction_id=164,NSDI,Attractions,,Ratnapura
Unawatuna,6.009862,80.248518,Attractions,Unawatuna is a coastal town in Galle district of Sri Lanka. Unawatuna is a major tourist attraction in Sri Lanka and famous for its beautiful beach and corals.,http://www.srilanka.travel/attraction&attraction_id=162,NSDI,Attractions,,Galle
Veddagala,7.2317591,81.647344,Attractions,A ruined monastery atop a mountain,http://www.srilanka.travel/attraction&attraction_id=138,NSDI,Attractions,,Ampara
Veheragala temple,6.7039056,81.6647243,Attractions,A ruined temple and monastery.,http://www.srilanka.travel/attraction&attraction_id=133,NSDI,Attractions,,Ampara
Victoria park,6.970547,80.768247,Attractions,The Victoria Park is a public park located in Nuwara Eliya next to the Nuwara Eliya Post Office in Sri Lanka. ,http://www.srilanka.travel/attraction&attraction_id=174,NSDI,Attractions,,Nuwara Eliya
Viharamahadevi park,6.913476,79.861837,Attractions,Viharamahadevi Park is the oldest and largest park in the central of Colombo.,http://www.srilanka.travel/attraction&attraction_id=216,NSDI,Attractions,,Colombo
Wadinagala,7.133864,81.5486728,Attractions,A reservoir bordering Gal Oya National Park.,http://www.srilanka.travel/attraction&attraction_id=118,NSDI,Attractions,,Ampara
Warana,7.1028835,80.074795,Attractions,The mountain hermitage of two brothers,http://www.srilanka.travel/attraction&attraction_id=82,NSDI,Attractions,,Gampaha
Wasgamuwa national park,7.753114,80.92043,Attractions,Wasgamuwa National Park is a natural park in Sri Lanka situated in the Matale and Polonnaruwa Districts. The park is situated 225 km away from Colombo.  ,http://www.srilanka.travel/attraction&attraction_id=175,NSDI,Attractions,,Matale
Weligama  bay,5.9773782,80.4288487,Attractions,From Tangalle Bay to Weligama is a beautiful coastline with rugged rocks sandy beaches and coconut groves.,http://www.srilanka.travel/attraction&attraction_id=55,NSDI,Attractions,,Galle
Weweldeniya,7.1979285,80.1526271,Attractions,A Piece of tradition.,http://www.srilanka.travel/attraction&attraction_id=61,NSDI,Attractions,,Gampaha
Whale watching in mirissa,5.94526549,80.46180725,Attractions, Whale and dolphin watching in south sea.,http://www.srilanka.travel/attraction&attraction_id=6,NSDI,Attractions,,Galle
Wilpattu national park,8.456457,80.047982,Attractions,Wilpattu is the largest and one of the oldest National Parks in Sri Lanka.,http://www.srilanka.travel/attraction&attraction_id=219,NSDI,Attractions,,Anuradhapura
Wolvendaal church,6.9421,79.859,Attractions,This is the Oldest protestant church in Sri Lanka.,http://www.srilanka.travel/attraction&attraction_id=205,NSDI,Attractions,,Colombo
Yala national park,6.279281,81.401821,Attractions,Yala National Park is the most visited and second largest national park in Sri Lanka. The park consists of five blocks two of which are now open to the public and also adjoining parks.,http://www.srilanka.travel/attraction&attraction_id=163,NSDI,Attractions,,Hambantota
Yapahuwa rock fortress,7.816953,80.317363,Attractions,This was the fourth ancient kindom in Sri Lanka.,http://www.srilanka.travel/attraction&attraction_id=184,NSDI,Attractions,,Kurunegala
