osm_id,code,fclass,population,name,geometry,geometry_wkt
4453380289,1003,village,7000,Maruthadikulam,POINT (80.4096939 9.6090304),POINT (80.409694 9.60903)
4453645617,1003,village,6000,Thampahamam,POINT (80.363355 9.6195745),POINT (80.363355 9.619574)
4453663169,1002,town,15000,Tellippalai,POINT (80.0361111 9.7821806),POINT (80.036111 9.782181)
4453663170,1003,village,7000,Varuththalaivilan,POINT (80.0490079 9.7881687),POINT (80.049008 9.788169)
4453663171,1003,village,7000,Veemankamam,POINT (80.0389258 9.7921857),POINT (80.038926 9.792186)
4453663172,1003,village,7000,Mallakam,POINT (80.0247801 9.7618121),POINT (80.02478 9.761812)
4454398099,1004,hamlet,0,Highway Access Junction Ja-Ela,POINT (79.8909376 7.0817724),POINT (79.890938 7.081772)
4454589404,1003,village,0,Belihuloya,POINT (80.7719451 6.7197996),POINT (80.771945 6.7198)
4454599113,1003,village,0,Pambahinna,POINT (80.7857475 6.7197057),POINT (80.785748 6.719706)
4454770274,1003,village,7000,Erlalai South,POINT (80.0434834 9.7609917),POINT (80.043483 9.760992)
4454770275,1003,village,8000,Usan,POINT (80.2410223 9.6499505),POINT (80.241022 9.64995)
4454770277,1003,village,7000,Kupillaan,POINT (80.0595971 9.7669339),POINT (80.059597 9.766934)
4454770278,1003,village,7000,Erlalai North,POINT (80.0494015 9.7716729),POINT (80.049402 9.771673)
4455826290,1003,village,7000,Urumpirai,POINT (80.0414281 9.7258891),POINT (80.041428 9.725889)
4455834908,1003,village,7000,Thachanthoppu,POINT (80.1084425 9.660553),POINT (80.108442 9.660553)
4455834909,1003,village,7000,Kovilakandy,POINT (80.1096243 9.6464448),POINT (80.109624 9.646445)
4455834910,1003,village,5000,Arukuveli,POINT (80.167216 9.6159714),POINT (80.167216 9.615971)
4455834911,1003,village,7000,Thanankilappu,POINT (80.1529075 9.6336295),POINT (80.152908 9.63363)
4455834912,1003,village,7000,Maravan Pulo,POINT (80.1267447 9.6370291),POINT (80.126745 9.637029)
4455989244,1003,village,0,Horawala,POINT (80.1271426 6.4808154),POINT (80.127143 6.480815)
4456376858,1003,village,6900,Vellampokady,POINT (80.2104899 9.6713386),POINT (80.21049 9.671339)
4456376859,1003,village,7000,Vembodukerny South,POINT (80.2854227 9.6295955),POINT (80.285423 9.629596)
4456376860,1003,village,7000,Allarai,POINT (80.1895366 9.6626362),POINT (80.189537 9.662636)
4456376861,1003,village,7000,Karampagam,POINT (80.2592436 9.6499921),POINT (80.259244 9.649992)
4456376862,1003,village,7000,Vidaththal Pallai,POINT (80.2494682 9.6245245),POINT (80.249468 9.624524)
4456376863,1003,village,7000,Ketpeli,POINT (80.2262718 9.6394378),POINT (80.226272 9.639438)
4456376864,1003,village,7000,Allipallai,POINT (80.3064038 9.5969956),POINT (80.306404 9.596996)
4456376865,1003,village,7000,Kachchai,POINT (80.203782 9.6517698),POINT (80.203782 9.65177)
4456376866,1003,village,7000,Tharmakerny,POINT (80.3586486 9.5654758),POINT (80.358649 9.565476)
4456376867,1003,village,7000,Pulopallai,POINT (80.327 9.5830111),POINT (80.327 9.583011)
4456376868,1003,village,5000,Urvanihan Pattu,POINT (80.3728269 9.5430161),POINT (80.372827 9.543016)
4456376869,1003,village,6000,Sangathanai,POINT (80.1757037 9.6637506),POINT (80.175704 9.663751)
4456376870,1003,village,4000,Kachaarveli,POINT (80.3021675 9.6177537),POINT (80.302168 9.617754)
4457271594,1003,village,7000,Vadaliyadaippu,POINT (79.9578226 9.7663249),POINT (79.957823 9.766325)
4457271595,1003,village,7000,Siththankerny,POINT (79.9577478 9.7529067),POINT (79.957748 9.752907)
4457546904,1030,farm,0,Omega Green (Pvt) Ltd,POINT (79.9546404 7.2879903),POINT (79.95464 7.28799)
4458721654,1003,village,6000,Inguru Oya,POINT (80.54513 7.0181796),POINT (80.54513 7.01818)
4458874021,1003,village,3000,Harangala,POINT (80.5903757 7.052232),POINT (80.590376 7.052232)
4458912732,1004,hamlet,4000,Dunukeulla,POINT (80.6425002 7.1359188),POINT (80.6425 7.135919)
4458912733,1004,hamlet,1500,Ihalagama,POINT (80.6335353 7.1352869),POINT (80.633535 7.135287)
4458913036,1004,hamlet,1000,Illaththamada,POINT (80.6377102 7.141186),POINT (80.63771 7.141186)
4458964056,1003,village,1500,Dangolla,POINT (80.612908 7.2679178),POINT (80.612908 7.267918)
4458964059,1010,suburb,7000,Katukele,POINT (80.6273651 7.2866058),POINT (80.627365 7.286606)
4458964060,1003,village,8000,Anniewatta,POINT (80.6241732 7.2922941),POINT (80.624173 7.292294)
4458964061,1010,suburb,6000,Dodamwala,POINT (80.6146338 7.2886963),POINT (80.614634 7.288696)
4458964062,1010,suburb,6000,Mapanawatura,POINT (80.6282761 7.3107651),POINT (80.628276 7.310765)
4458964064,1010,suburb,6000,Gohagoda,POINT (80.6126509 7.3037847),POINT (80.612651 7.303785)
4458972189,1010,suburb,8000,Mahaiyawa,POINT (80.6331691 7.3016627),POINT (80.633169 7.301663)
4462726194,1003,village,0,Nonpareil Estate,POINT (80.7909793 6.761317),POINT (80.790979 6.761317)
4462731782,1003,village,0,Marangahawela,POINT (80.8354672 6.7473331),POINT (80.835467 6.747333)
4462741104,1003,village,0,Kosgama,POINT (80.8240929 6.7068053),POINT (80.824093 6.706805)
4462782262,1003,village,0,Heraliyawala,POINT (79.956664 6.7674832),POINT (79.956664 6.767483)
4462929658,1003,village,0,Rathmalkaduwa,POINT (80.5567395 7.1673155),POINT (80.55674 7.167316)
4462929659,1003,village,0,Hapugaspitiya,POINT (80.5597275 7.1683055),POINT (80.559728 7.168306)
4463032498,1003,village,7000,Manthikai,POINT (80.2252317 9.8064041),POINT (80.225232 9.806404)
4463113770,1003,village,5000,Thumpalai,POINT (80.2437137 9.8177403),POINT (80.243714 9.81774)
4463113771,1003,village,5000,Thunnalai,POINT (80.2232834 9.7873278),POINT (80.223283 9.787328)
4463113772,1003,village,5000,Navindil,POINT (80.1856536 9.8119753),POINT (80.185654 9.811975)
4463113773,1003,village,5000,Katkovalam,POINT (80.2508052 9.8089786),POINT (80.250805 9.808979)
4463113774,1003,village,5000,Karaveddy,POINT (80.1948998 9.7880007),POINT (80.1949 9.788001)
4463113775,1003,village,5000,Polykandy,POINT (80.1894442 9.8266482),POINT (80.189444 9.826648)
4463113776,1003,village,5000,Nellandai,POINT (80.2512569 9.8152638),POINT (80.251257 9.815264)
4463113777,1003,village,5000,Karanavai,POINT (80.1847715 9.802348),POINT (80.184772 9.802348)
4463113778,1003,village,5000,Urani,POINT (80.1798536 9.8257161),POINT (80.179854 9.825716)
4463113779,1003,village,5000,Varaathupalai,POINT (80.238771 9.8074489),POINT (80.238771 9.807449)
4463113780,1003,village,5000,Viyaapaari Moolai,POINT (80.2154347 9.828242),POINT (80.215435 9.828242)
4463113781,1003,village,5000,Puttalai,POINT (80.230952 9.8052798),POINT (80.230952 9.80528)
4463113782,1003,village,5000,Thampasiddy,POINT (80.225579 9.8210133),POINT (80.225579 9.821013)
4463113783,1003,village,5000,Puloly,POINT (80.2328455 9.8118444),POINT (80.232846 9.811844)
4463113784,1003,village,5000,Thikkam,POINT (80.1963377 9.8273728),POINT (80.196338 9.827373)
4463153749,1003,village,5000,KamparMalai,POINT (80.1521779 9.8242807),POINT (80.152178 9.824281)
4463153750,1003,village,5000,Sakkoddai,POINT (80.2232122 9.8308003),POINT (80.223212 9.8308)
4463153751,1004,hamlet,4000,Mayiliyathanai,POINT (80.1461443 9.8218532),POINT (80.146144 9.821853)
4463153752,1003,village,4000,Nediyakadu,POINT (80.1744502 9.8227761),POINT (80.17445 9.822776)
4463153753,1003,village,5000,Thondaimanaru,POINT (80.1319898 9.8096086),POINT (80.13199 9.809609)
4463153754,1003,village,5000,Kommantharai,POINT (80.1592481 9.8166882),POINT (80.159248 9.816688)
