osm_id,code,fclass,name,layer,bridge,tunnel,geometry,geometry_wkt
589069456,6101,rail,Mannar Line,1,T,F,"LINESTRING (79.8953178 8.9611652, 79.8948883 8.9618823)","LINESTRING (79.895318 8.961165, 79.894888 8.961882)"
589069457,6101,rail,Mannar Line,0,F,F,"LINESTRING (79.9041205 8.948395, 79.903495 8.9487352, 79.9028024 8.9492316, 79.9024172 8.9495925, 79.9020396 8.9500406, 79.9015399 8.9508272, 79.9003127 8.9528158, 79.8971331 8.958106, 79.8953178 8.9611652)","LINESTRING (79.90412 8.948395, 79.903495 8.948735, 79.902802 8.949232, 79.902417 8.949592, 79.90204 8.950041, 79.90154 8.950827, 79.900313 8.952816, 79.897133 8.958106, 79.895318 8.961165)"
589069458,6101,rail,Mannar Line,1,T,F,"LINESTRING (79.904664 8.9481342, 79.9041205 8.948395)","LINESTRING (79.904664 8.948134, 79.90412 8.948395)"
589115750,6101,rail,Northern Line,0,F,F,"LINESTRING (80.3715233 7.5449237, 80.3715205 7.5452086, 80.3715089 7.5455707, 80.3714863 7.5460056, 80.3714167 7.5464358, 80.3713524 7.5467489, 80.371257 7.5470959, 80.3711418 7.5474201, 80.3710318 7.5477243, 80.3709512 7.5479379, 80.370724 7.5485145, 80.3705018 7.5491132, 80.3704022 7.5493585, 80.3701261 7.5500986, 80.3698374 7.550845, 80.3692059 7.5524188, 80.3690293 7.5528893, 80.3688393 7.5533809, 80.3684517 7.5543601, 80.3676914 7.5563314, 80.3675581 7.5566928, 80.3674404 7.556978, 80.3672507 7.5574723, 80.3663769 7.5596868, 80.366165 7.5602385, 80.3657875 7.5609472, 80.3654243 7.5614695, 80.3650859 7.5618615, 80.3641126 7.5628262, 80.3630399 7.5637659, 80.362445 7.5643399, 80.3622004 7.5645918, 80.3617712 7.5651567, 80.3615969 7.565404, 80.3611584 7.56632, 80.3608717 7.5670165, 80.3606048 7.5677119, 80.3598464 7.569778, 80.3592589 7.5710494, 80.3585956 7.5721973, 80.357618 7.5739269, 80.3565563 7.5758248, 80.3558705 7.5770237, 80.3555938 7.5775284, 80.3548292 7.5788605, 80.3544961 7.5795683, 80.3543972 7.5798119, 80.3543582 7.5799783, 80.3542003 7.5806508, 80.3541356 7.5819164, 80.3539534 7.5828792, 80.3536311 7.58347, 80.3532076 7.5842009, 80.3527331 7.5847652, 80.3517301 7.5856996, 80.3509522 7.5865191, 80.3504741 7.5873547, 80.3502037 7.5881066, 80.350049 7.5890328, 80.3500757 7.5896743, 80.3501787 7.5903478, 80.3502739 7.5907849, 80.3503666 7.591286, 80.3504022 7.5915275, 80.3504046 7.5918842, 80.3504176 7.5921685, 80.3504244 7.592716, 80.3504527 7.5935, 80.3503955 7.5952012, 80.3503945 7.5958372, 80.3503614 7.596738, 80.3504114 7.5972637, 80.3503217 7.597839, 80.3502584 7.5983204, 80.3501698 7.5986278, 80.3500314 7.5989627, 80.3498222 7.599271, 80.3495057 7.5997522, 80.3490045 7.6007777, 80.3487463 7.6014914, 80.3486045 7.6019616, 80.3484704 7.6024454, 80.3485696 7.6041363, 80.3486796 7.6049552, 80.3487118 7.6058591, 80.3486689 7.6062845, 80.3485669 7.6071964, 80.3484007 7.6078451, 80.3481056 7.6085762, 80.3478159 7.6090547, 80.3467886 7.6103149, 80.3465661 7.6107457, 80.3462845 7.6114741, 80.3461584 7.6120776, 80.3460672 7.6128486, 80.3461745 7.613617, 80.346302 7.6143178, 80.3464009 7.6145817)","LINESTRING (80.371523 7.544924, 80.37152 7.545209, 80.371509 7.545571, 80.371486 7.546006, 80.371417 7.546436, 80.371352 7.546749, 80.371257 7.547096, 80.371142 7.54742, 80.371032 7.547724, 80.370951 7.547938, 80.370724 7.548514, 80.370502 7.549113, 80.370402 7.549358, 80.370126 7.550099, 80.369837 7.550845, 80.369206 7.552419, 80.369029 7.552889, 80.368839 7.553381, 80.368452 7.55436, 80.367691 7.556331, 80.367558 7.556693, 80.36744 7.556978, 80.367251 7.557472, 80.366377 7.559687, 80.366165 7.560238, 80.365788 7.560947, 80.365424 7.56147, 80.365086 7.561862, 80.364113 7.562826, 80.36304 7.563766, 80.362445 7.56434, 80.3622 7.564592, 80.361771 7.565157, 80.361597 7.565404, 80.361158 7.56632, 80.360872 7.567016, 80.360605 7.567712, 80.359846 7.569778, 80.359259 7.571049, 80.358596 7.572197, 80.357618 7.573927, 80.356556 7.575825, 80.35587 7.577024, 80.355594 7.577528, 80.354829 7.57886, 80.354496 7.579568, 80.354397 7.579812, 80.354358 7.579978, 80.3542 7.580651, 80.354136 7.581916, 80.353953 7.582879, 80.353631 7.58347, 80.353208 7.584201, 80.352733 7.584765, 80.35173 7.5857, 80.350952 7.586519, 80.350474 7.587355, 80.350204 7.588107, 80.350049 7.589033, 80.350076 7.589674, 80.350179 7.590348, 80.350274 7.590785, 80.350367 7.591286, 80.350402 7.591528, 80.350405 7.591884, 80.350418 7.592168, 80.350424 7.592716, 80.350453 7.5935, 80.350396 7.595201, 80.350394 7.595837, 80.350361 7.596738, 80.350411 7.597264, 80.350322 7.597839, 80.350258 7.59832, 80.35017 7.598628, 80.350031 7.598963, 80.349822 7.599271, 80.349506 7.599752, 80.349004 7.600778, 80.348746 7.601491, 80.348604 7.601962, 80.34847 7.602445, 80.34857 7.604136, 80.34868 7.604955, 80.348712 7.605859, 80.348669 7.606284, 80.348567 7.607196, 80.348401 7.607845, 80.348106 7.608576, 80.347816 7.609055, 80.346789 7.610315, 80.346566 7.610746, 80.346284 7.611474, 80.346158 7.612078, 80.346067 7.612849, 80.346174 7.613617, 80.346302 7.614318, 80.346401 7.614582)"
589115751,6101,rail,Northern Line,1,T,F,"LINESTRING (80.3715224 7.5448127, 80.3715233 7.5449237)","LINESTRING (80.371522 7.544813, 80.371523 7.544924)"
592159495,6101,rail,Puttalam Line,1,T,F,"LINESTRING (79.8289433 7.6777681, 79.8289954 7.678175)","LINESTRING (79.828943 7.677768, 79.828995 7.678175)"
592159496,6101,rail,Puttalam Line,0,F,F,"LINESTRING (79.8289954 7.678175, 79.829061 7.6787111, 79.8291208 7.6792135, 79.8292311 7.6803837, 79.8292457 7.6807444, 79.829268 7.6813024, 79.82927 7.6818603, 79.8291874 7.6837025, 79.8291692 7.6841591, 79.8290965 7.6859883, 79.8289912 7.6881794, 79.8288875 7.6902574, 79.8287873 7.6922673, 79.8286667 7.6946843, 79.8285471 7.6970823, 79.828288 7.702909, 79.8282895 7.7031933, 79.8282083 7.7049168)","LINESTRING (79.828995 7.678175, 79.829061 7.678711, 79.829121 7.679214, 79.829231 7.680384, 79.829246 7.680744, 79.829268 7.681302, 79.82927 7.68186, 79.829187 7.683702, 79.829169 7.684159, 79.829096 7.685988, 79.828991 7.688179, 79.828888 7.690257, 79.828787 7.692267, 79.828667 7.694684, 79.828547 7.697082, 79.828288 7.702909, 79.82829 7.703193, 79.828208 7.704917)"
592173320,6101,rail,Puttalam Line,0,F,F,"LINESTRING (79.831679 7.7210731, 79.831942 7.7219487, 79.8320458 7.7225031, 79.8320848 7.7227399, 79.8321074 7.723083, 79.8320916 7.7236646, 79.8320568 7.7243078, 79.8319567 7.7249641, 79.8318201 7.7257823, 79.8317498 7.7261935, 79.8316673 7.7266006, 79.8315677 7.7271726, 79.8314034 7.7281159, 79.8312063 7.7290344, 79.8301746 7.7345956, 79.8296895 7.7373413)","LINESTRING (79.831679 7.721073, 79.831942 7.721949, 79.832046 7.722503, 79.832085 7.72274, 79.832107 7.723083, 79.832092 7.723665, 79.832057 7.724308, 79.831957 7.724964, 79.83182 7.725782, 79.83175 7.726194, 79.831667 7.726601, 79.831568 7.727173, 79.831403 7.728116, 79.831206 7.729034, 79.830175 7.734596, 79.82969 7.737341)"
592173321,6101,rail,Puttalam Line,1,T,F,"LINESTRING (79.8315931 7.7208013, 79.831679 7.7210731)","LINESTRING (79.831593 7.720801, 79.831679 7.721073)"
592428960,6101,rail,Puttalam Line,1,T,F,"LINESTRING (79.8285235 7.6086692, 79.8285215 7.6108422)","LINESTRING (79.828524 7.608669, 79.828522 7.610842)"
