osm_id,name,name_en,name_si,name_ta,type,operator,lat,lon
3665942841,Chettikulam Station,Chettikulam Station,,,station,,8.6689844,80.3059036
3770151110,Warakawa,Warakawa,,,halt,,7.0740747,80.5406849
3770166377,Pallegama,Pallegama,,,halt,,7.0837437,80.5526498
3856394476,Pattam Paha,Pattam Paha,,,halt,,7.3807323,80.6621247
3926651383,Ambalangoda,Ambalangoda,,,station,,6.2353754,80.0549325
3948248011,Maho Junction,Maho Junction,,,stop,,7.8231736,80.2749838
3958951994,Sangathanai Railway Station,Sangathanai Railway Station,,சங்கத்தானை தொடருந்து நிலையம்,station,,9.664046,80.1723805
3990565228,Thachanthoppu,Thachanthoppu,,தச்சன்தோப்பு,station,,9.6571772,80.1108181
4030927344,Katunayake,Katunayake,,,stop,,7.167548,79.8720358
4034331784,Rajawatta,Rajawatta,,,halt,,7.2676046,80.6028685
4038338014,Kattuwa,Kattuwa,,,station,Sri Lanka Railways,7.2399357,79.8475622
4038370993,Noor Nagar,Noor Nagar,,,station,Sri Lanka Railways,8.035971,79.8398157
4040439771,Mount Lavinia,Mount Lavinia,,,stop,,6.831684,79.8625654
4075038185,Aselapura,Aselapura,,,halt,,7.9630997,81.2990714
4075039577,Rideethenna,Rideethenna,,,halt,,7.9638576,81.3393687
4075186466,Gallella,Gallella,,,halt,,7.9053038,81.0631516
4076853085,Hathamuna,Hathamuna,,,halt,,8.0190988,80.9692934
4082665324,Hingurakgoda,Hingurakgoda,,,stop,,8.0395866,80.9513543
4085812708,Wadurawa,Wadurawa,,,stop,,7.1678095,80.0661771
4085812728,Keenawala,Keenawala,,,stop,,7.1853594,80.0744676
4085812754,Pallewala,Pallewala,,,stop,,7.1983622,80.0898641
4107397102,Ulapane,Ulapane,,,stop,,7.1083808,80.5597061
4107397170,Gampola,Gampola,,,stop,,7.1621977,80.5669286
4109469966,Rozelle,Rozelle,,,stop,,6.9348343,80.5586678
4109470137,Galboda,Galboda,,,stop,,6.9860457,80.5301667
4109833590,Mirusuvil,Mirusuvil,,மிருசுவில்,station,,9.6741668,80.2432739
4184267518,Wattegama,Wattegama,,,stop,,7.3506907,80.682485
4184267571,Patanpaha,Patanpaha,,,stop,,7.3840641,80.6615362
4184267853,Matale,Matale,,,stop,,7.4679524,80.6249954
4187025142,Matara,Matara,,,stop,,5.9518235,80.543128
4187025346,Talpe,Talpe,,,stop,,5.9986044,80.2801694
4187025379,Katugoda,Katugoda,,,station,,6.0327454,80.2401656
4187025621,Galle,Galle,,,stop,,6.0347766,80.2142541
4187025622,Galle,Galle,,,stop,,6.0347833,80.2142957
4187025628,Galle,Galle,,,stop,,6.0347699,80.2141843
4187419037,Dodanduwa,Dodanduwa,,,stop,,6.0982944,80.1329328
4187419076,Hikkaduwa,Hikkaduwa,,,stop,,6.1420457,80.1001915
