from,to,distance_km,duration_min
dehiwala,habarana,179.9,191.0
dehiwala,galenbindunuwewa,244.9,279.1
dehiwala,talawa,197.1,213.2
dehiwala,badulla,205.1,224.9
dehiwala,bandarawela,177.3,193.7
dehiwala,monaragala,230.5,247.8
dehiwala,welimada,192.4,212.8
dehiwala,mahiyanganaya,198.7,235.7
dehiwala,haputale,160.5,191.7
dehiwala,ella,190.5,208.5
dehiwala,passara,219.2,251.6
dehiwala,wellawaya,183.2,197.3
dehiwala,ratnapura,79.5,88.8
dehiwala,kegalle,85.3,97.5
dehiwala,embilipitiya,151.4,167.2
dehiwala,balangoda,123.2,135.0
dehiwala,ruwanwella,66.8,89.5
dehiwala,deraniyagala,71.3,94.0
dehiwala,kitulgala,87.4,110.1
dehiwala,rakkula,108.9,120.9
moratuwa,negombo,54.9,59.7
moratuwa,gampaha,53.6,53.6
moratuwa,kelaniya,28.8,38.5
moratuwa,kalutara,23.4,31.3
moratuwa,panadura,8.1,12.6
moratuwa,horana,27.5,32.6
moratuwa,avissawella,51.3,67.5
moratuwa,wattala,26.4,35.9
moratuwa,homagama,20.5,26.1
moratuwa,maharagama,14.7,20.5
moratuwa,boralesgamuwa,11.0,14.9
moratuwa,kandy,137.8,148.5
moratuwa,matale,167.9,173.0
moratuwa,nuwara eliya,163.3,192.5
moratuwa,gampola,135.4,153.8
moratuwa,hatton,125.0,149.8
moratuwa,dambulla,173.8,174.9
moratuwa,katugastota,141.2,153.9
moratuwa,peradeniya,131.9,141.2
moratuwa,pilimathalawa,125.2,132.7
moratuwa,galagedara,144.5,146.4
moratuwa,galle,106.3,97.1
moratuwa,matara,143.5,121.7
moratuwa,hambantota,228.3,184.0
moratuwa,tangalle,170.4,140.1
moratuwa,ambalangoda,66.2,80.2
moratuwa,deniyaya,179.8,164.1
moratuwa,tissamaharama,237.2,195.6
moratuwa,akuressa,131.7,117.4
moratuwa,weligama,131.4,111.1
moratuwa,batapola,87.9,82.8
moratuwa,elipitiya,80.6,75.5
moratuwa,jaffna,417.8,463.7
moratuwa,vavuniya,278.0,300.3
moratuwa,mannar,305.3,354.5
moratuwa,kilinochchi,355.3,395.5
moratuwa,mullaitivu,352.1,403.5
moratuwa,point pedro,412.8,462.6
moratuwa,chavakachcheri,402.9,447.4
moratuwa,kayts,436.9,490.5
moratuwa,veldithurai,416.7,469.2
moratuwa,nallur,414.9,461.1
moratuwa,trincomalee,281.4,298.6
moratuwa,batticaloa,334.1,354.6
moratuwa,ampara,321.0,356.2
moratuwa,kalmunai,345.2,383.3
moratuwa,akkaraipattu,339.8,366.3
moratuwa,erei,274.4,301.1
moratuwa,kattankudy,339.6,361.4
moratuwa,mutur,289.1,311.8
moratuwa,valachchenai,311.0,333.7
moratuwa,kurunegala,117.8,116.2
moratuwa,puttalam,151.6,163.5
moratuwa,chilaw,97.9,105.5
moratuwa,kuliyapitiya,95.8,113.1
moratuwa,naththandiya,82.1,94.7
moratuwa,wennappuwa,73.0,80.2
moratuwa,madurankuliya,138.1,150.5
moratuwa,pannala,80.1,92.3
moratuwa,anuradhapura,225.3,244.5
moratuwa,polonnaruwa,239.5,245.7
moratuwa,medawachchiya,254.3,270.6
moratuwa,kaduruwela,242.1,251.1
moratuwa,kekirawa,201.8,209.9
moratuwa,habarana,195.0,197.6
moratuwa,galenbindunuwewa,260.0,285.7
moratuwa,talawa,206.7,226.3
moratuwa,badulla,202.8,222.6
moratuwa,bandarawela,175.0,191.4
moratuwa,monaragala,228.2,245.4
moratuwa,welimada,190.1,210.4
moratuwa,mahiyanganaya,213.8,242.3
moratuwa,haputale,158.2,189.4
moratuwa,ella,188.2,206.1
moratuwa,passara,216.9,249.3
moratuwa,wellawaya,180.9,195.0
moratuwa,ratnapura,77.2,86.5
moratuwa,kegalle,100.4,104.1
moratuwa,embilipitiya,149.1,164.8
moratuwa,balangoda,120.9,132.7
moratuwa,ruwanwella,70.1,92.2
moratuwa,deraniyagala,74.5,96.7
moratuwa,kitulgala,90.6,112.8
moratuwa,rakkula,106.6,118.6
negombo,gampaha,25.8,31.2
negombo,kelaniya,34.8,35.6
negombo,kalutara,87.3,80.8
negombo,panadura,62.6,70.9
negombo,horana,72.6,66.3
negombo,avissawella,73.1,78.3
negombo,wattala,32.4,31.1
negombo,homagama,56.3,51.4
negombo,maharagama,48.3,52.0
negombo,boralesgamuwa,48.9,52.0
negombo,kandy,120.0,128.5
negombo,matale,129.1,141.7
negombo,nuwara eliya,161.0,190.9
negombo,gampola,105.7,136.2
negombo,hatton,122.6,148.2
negombo,dambulla,135.0,143.6
negombo,katugastota,114.5,122.6
negombo,peradeniya,102.2,123.6
negombo,pilimathalawa,95.5,115.1
negombo,galagedara,105.7,115.1
negombo,galle,151.3,129.7
negombo,matara,188.5,154.3
negombo,hambantota,273.4,216.6
negombo,tangalle,215.5,172.6
negombo,ambalangoda,134.7,113.4
negombo,deniyaya,224.8,196.7
negombo,tissamaharama,282.3,228.2
negombo,akuressa,176.8,149.9
negombo,weligama,176.4,143.7
negombo,batapola,133.0,115.4
negombo,elipitiya,125.6,108.1
negombo,jaffna,371.4,424.0
negombo,vavuniya,231.6,260.6
negombo,mannar,251.8,297.8
negombo,kilinochchi,308.9,355.8
negombo,mullaitivu,305.7,363.8
negombo,point pedro,366.4,422.9
negombo,chavakachcheri,356.5,407.7
negombo,kayts,390.5,450.9
negombo,veldithurai,370.3,429.5
negombo,nallur,368.5,421.4
negombo,trincomalee,242.5,267.3
negombo,batticaloa,295.3,323.3
negombo,ampara,300.8,340.8
negombo,kalmunai,316.6,363.5
negombo,akkaraipattu,328.7,376.4
negombo,erei,235.6,269.8
negombo,kattankudy,300.7,330.1
negombo,mutur,250.3,280.5
negombo,valachchenai,272.2,302.4
negombo,kurunegala,78.9,84.9
negombo,puttalam,98.1,106.8
negombo,chilaw,44.4,48.9
negombo,kuliyapitiya,47.0,58.7
negombo,naththandiya,28.5,38.0
negombo,wennappuwa,19.5,23.6
negombo,madurankuliya,84.6,93.9
negombo,pannala,26.6,35.6
negombo,anuradhapura,171.8,187.8
negombo,polonnaruwa,200.7,214.4
negombo,medawachchiya,207.9,230.9
negombo,kaduruwela,203.3,219.8
negombo,kekirawa,162.9,178.6
negombo,habarana,156.2,166.3
negombo,galenbindunuwewa,213.6,246.1
negombo,talawa,153.2,169.7
negombo,badulla,212.6,256.0
negombo,bandarawela,220.1,225.0
negombo,monaragala,273.3,279.1
negombo,welimada,181.8,216.9
negombo,mahiyanganaya,189.9,217.0
negombo,haputale,203.3,223.1
negombo,ella,233.2,239.8
negombo,passara,226.8,282.7
negombo,wellawaya,226.0,228.7
negombo,ratnapura,122.2,120.2
negombo,kegalle,70.7,86.5
negombo,embilipitiya,194.1,198.5
negombo,balangoda,165.9,166.3
negombo,ruwanwella,60.8,81.8
negombo,deraniyagala,81.4,107.2
negombo,kitulgala,88.3,111.2
negombo,rakkula,151.7,152.3
gampaha,kelaniya,28.0,29.2
gampaha,kalutara,67.4,65.3
gampaha,panadura,59.7,57.0
gampaha,horana,52.7,50.9
gampaha,avissawella,40.2,52.5
gampaha,wattala,23.2,28.3
gampaha,homagama,36.4,36.0
gampaha,maharagama,40.6,42.5
gampaha,boralesgamuwa,43.0,45.4
gampaha,kandy,91.5,103.3
gampaha,matale,121.6,127.8
gampaha,nuwara eliya,144.4,163.3
gampaha,gampola,89.1,108.5
gampaha,hatton,106.0,120.7
gampaha,dambulla,127.5,129.7
gampaha,katugastota,94.9,108.7
gampaha,peradeniya,85.6,96.0
gampaha,pilimathalawa,78.8,87.5
gampaha,galagedara,98.2,101.2
gampaha,galle,131.5,114.3
gampaha,matara,168.6,138.9
gampaha,hambantota,253.5,201.1
